year,month,value,date
1924,may,-0.218,1924-05
1924,june,-0.276,1924-06
1924,july,-0.294,1924-07
1924,august,-0.317,1924-08
1924,september,-0.331,1924-09
1924,october,-0.366,1924-10
1924,november,-0.291,1924-11
1924,december,-0.492,1924-12
1925,january,-0.492,1925-01
1925,february,-0.485,1925-02
1925,march,-0.374,1925-03
1925,april,-0.307,1925-04
1925,may,-0.306,1925-05
1925,june,-0.334,1925-06
1925,july,-0.331,1925-07
1925,august,-0.168,1925-08
1925,september,-0.259,1925-09
1925,october,-0.289,1925-10
1925,november,-0.059,1925-11
1925,december,0.014,1925-12
1926,january,0.083,1926-01
1926,february,-0.035,1926-02
1926,march,0.024,1926-03
1926,april,-0.158,1926-04
1926,may,-0.27,1926-05
1926,june,-0.183,1926-06
1926,july,-0.208,1926-07
1926,august,-0.1,1926-08
1926,september,-0.118,1926-09
1926,october,-0.07,1926-10
1926,november,-0.116,1926-11
1926,december,-0.322,1926-12
1927,january,-0.311,1927-01
1927,february,-0.212,1927-02
1927,march,-0.419,1927-03
1927,april,-0.315,1927-04
1927,may,-0.23,1927-05
1927,june,-0.248,1927-06
1927,july,-0.205,1927-07
